corpus	language	file	bytes	chars	lines	tokens	bytes_per_token	tokens_per_line
raku-repo	Raku	../../../../testData/docs/quickDocsRoutine.p6	109	109	8	36	3.0278	4.5000
raku-repo	Raku	../../../../testData/findUsage/IdeaFoo2/User.pm6	226	226	14	57	3.9649	4.0714
raku-repo	Raku	../../../../testData/intention/RoleDoesClassConvertedToInheritanceBefore.p6	35	35	1	12	2.9167	12.0000
raku-repo	Raku	../../../../testData/intention/ColonPairSimplificationTrueBefore.p6	45	45	3	19	2.3684	6.3333
raku-repo	Raku	../../../../testData/surroundWith/wheneverSurroundBefore.p6	44	44	3	12	3.6667	4.0000
raku-repo	Raku	../../../../testData/intention/ASCIICannotBeConvertedIntoASCIIBefore.p6	34	34	1	20	1.7000	20.0000
raku-repo	Raku	../../../../testData/docs/methodExternalFromCOREClass.p6	15	15	1	6	2.5000	6.0000
raku-repo	Raku	../../../../testData/surroundWith/tryDefaultSurroundBefore.p6	39	39	1	14	2.7857	14.0000
raku-repo	Raku	../../../../testData/intention/PrivateMethodStubbingSignatureGenerationForSingleArgColonpair.p6	113	113	8	33	3.4242	4.1250
raku-repo	Raku	../../../../testData/block-extract/mathExpression.p6	37	37	4	16	2.3125	4.0000
raku-repo	Raku	../../../../testData/intention/QuotesConversion2Before.p6	19	19	1	9	2.1111	9.0000
raku-repo	Raku	../../../../testData/smartEnter/PackageAfterName_after.p6	32	32	3	9	3.5556	3.0000
raku-repo	Raku	../../../../testData/parsing/trusts/ParsingTestData.p6	231	231	12	78	2.9615	6.5000
raku-repo	Raku	../../../../testData/findUsage/VariableWithDashFromParameter.p6	73	73	4	27	2.7037	6.7500
raku-repo	Raku	../../../../testData/inline-call/emptyRoutineIsReplacedWithNil.p6	36	36	5	11	3.2727	2.2000
raku-repo	Raku	../../../../testData/editor/classes.pm6	145	145	15	34	4.2647	2.2667
raku-repo	Raku	../../../../scripts/shake-n-test.raku	4629	4629	106	1302	3.5553	12.2830
raku-repo	Raku	../../../../testData/parsing/unbalanced-bug-2/ParsingTestData.p6	31	31	1	11	2.8182	11.0000
raku-repo	Raku	../../../../testData/findUsage/VariableDefinition.p6	37	37	5	16	2.3125	3.2000
raku-repo	Raku	../../../../testData/findUsage/IdeaFoo2/Base.pm6	52	52	4	15	3.4667	3.7500
raku-repo	Raku	../../../../testData/parsing/block-structure/ParsingTestData.p6	248	248	17	84	2.9524	4.9412
raku-repo	Raku	../../../../testData/intention/MakeMethodPublicIntentionIsForPrivateOnlyBefore.p6	101	101	7	32	3.1563	4.5714
raku-repo	Raku	../../../../testData/inline-variable/positionalParameterSingleUsageNoSave.p6	55	55	5	28	1.9643	5.6000
raku-repo	Raku	../../../../testData/mover/BlockTestDataCursorUp.p6	88	88	6	32	2.7500	5.3333
raku-repo	Raku	../../../../testData/mover/Case3.p6	69	69	6	24	2.8750	4.0000
raku-repo	Raku	../../../../testData/intention/UnparenInitializerBefore.p6	22	22	1	9	2.4444	9.0000
raku-repo	Raku	../../../../testData/intention/AttributeRequiredTraitsBefore.p6	39	39	3	15	2.6000	5.0000
raku-repo	Raku	../../../../testData/mover/Case4.p6	108	108	7	35	3.0857	5.0000
raku-repo	Raku	../../../../testData/intention/ConditionalBlockConversion2Before.p6	50	50	1	16	3.1250	16.0000
raku-repo	Raku	../../../../testData/parsing/ws-after-arglist/ParsingTestData.p6	67	67	2	27	2.4815	13.5000
raku-repo	Raku	../../../../testData/mover/Heredoc2Down.p6	405	405	11	102	3.9706	9.2727
raku-repo	Raku	../../../../testData/parsing/sg/ParsingTestData.p6	3	3	1	2	1.5000	2.0000
raku-repo	Raku	../../../../testData/intention/RoleDoesClassConvertedToInheritance.p6	33	33	1	11	3.0000	11.0000
raku-repo	Raku	../../../../testData/inline-call/expressionsAreParenthesisedBefore.p6	68	68	5	35	1.9429	7.0000
raku-repo	Raku	../../../../testData/block-extract/attributesToSubArePassedBefore.p6	132	132	9	46	2.8696	5.1111
raku-repo	Raku	../../../../testData/inline-call/positionalArgumentsSaveBefore.p6	54	54	5	29	1.8621	5.8000
raku-repo	Raku	../../../../testData/block-extract/callchainFromSelection1.p6	74	74	6	25	2.9600	4.1667
raku-repo	Raku	../../../../testData/formatter/array.out.p6	95	95	9	36	2.6389	4.0000
raku-repo	Raku	../../../../testData/formatter/basic-hash.out.p6	66	66	4	22	3.0000	5.5000
raku-repo	Raku	../../../../testData/block-extract/attributesArePassedToOuterClass.p6	185	185	12	47	3.9362	3.9167
raku-repo	Raku	../../../../testData/inline-call/simpleMethodInlineNoSave.p6	75	75	5	22	3.4091	4.4000
raku-repo	Raku	../../../../testData/intention/EmptyUnparenNotAllowedBefore.p6	18	18	1	8	2.2500	8.0000
raku-repo	Raku	../../../../testData/highlight/User.rakumod	161	161	4	51	3.1569	12.7500
raku-repo	Raku	../../../../testData/smartEnter/For2_after.p6	24	24	3	9	2.6667	3.0000
raku-repo	Raku	../../../../testData/intention/AwaitAllOfUnwrapPrefix.p6	12	12	1	5	2.4000	5.0000
raku-repo	Raku	../../../../testData/docs/methodExternalFromCORERole.p6	32	32	3	13	2.4615	4.3333
raku-repo	Raku	../../../../testData/rename/IdeaFoo4/UserMovedBase.pm6	24	24	1	9	2.6667	9.0000
raku-repo	Raku	../../../../testData/smartEnter/MultilineStatement.p6	41	41	2	17	2.4118	8.5000
raku-repo	Raku	../../../../testData/surroundWith/tryExpr.p6	71	71	7	31	2.2903	4.4286
raku-repo	Raku	../../../../testData/findUsage/Type.p6	49	49	5	19	2.5789	3.8000
raku-repo	Raku	../../../../testData/inline-call/singleStatementBlockInlineSaveBefore.p6	42	42	5	19	2.2105	3.8000
raku-repo	Raku	../../../../testData/completion/IdeaFoo/Bar7.pm6	90	90	7	29	3.1034	4.1429
raku-repo	Raku	../../../../testData/surroundWith/hashContextualizerSurround.p6	83	83	10	35	2.3714	3.5000
raku-repo	Raku	../../../../testData/surroundWith/ifExpr.p6	40	40	4	17	2.3529	4.2500
raku-repo	Raku	../../../../testData/surroundWith/tryExprBefore.p6	78	78	5	30	2.6000	6.0000
raku-repo	Raku	../../../../testData/rename/IdeaFoo4/UserAfter.pm6	25	25	1	8	3.1250	8.0000
raku-repo	Raku	../../../../testData/inline-variable/initManyUsagesBefore.p6	122	122	12	52	2.3462	4.3333
raku-repo	Raku	../../../../testData/surroundWith/trySurround.p6	50	50	5	15	3.3333	3.0000
raku-repo	Raku	../../../../testData/intention/UniTermToASCIIBefore.p6	13	12	1	5	2.6000	5.0000
raku-repo	Raku	../../../../testData/inline-variable/attributeVariableExceptionBefore.p6	218	218	15	59	3.6949	3.9333
raku-repo	Raku	../../../../testData/intention/EVALOfInterpolationBefore.p6	34	34	1	15	2.2667	15.0000
raku-repo	Raku	../../../../testData/intention/PrivateMethodStubbingReformatsOnlyAddedBlock.p6	105	105	6	31	3.3871	5.1667
raku-repo	Raku	../../../../testData/block-extract/inClassPrivateMethodExtraction.p6	107	107	8	30	3.5667	3.7500
raku-repo	Raku	../../../../testData/smartEnter/GivenWhen.p6	30	30	3	12	2.5000	4.0000
raku-repo	Raku	../../../../testData/findUsage/PrivateMethod.p6	142	142	11	41	3.4634	3.7273
raku-repo	Raku	../../../../testData/mover/Case8.p6	59	59	5	19	3.1053	3.8000
raku-repo	Raku	../../../../testData/block-extract/fullMathExpressionFromSelection.p6	37	37	4	15	2.4667	3.7500
raku-repo	Raku	../../../../testData/formatter/align-reverse.out.p6	583	583	37	172	3.3895	4.6486
raku-repo	Raku	../../../../testData/inline-variable/multivarInitSingleCaseLeftNoSaveBefore.p6	45	45	4	24	1.8750	6.0000
raku-repo	Raku	../../../../testData/parsing/semi-in-arglist/ParsingTestData.p6	601	601	14	138	4.3551	9.8571
raku-repo	Raku	../../../../testData/mover/Case3Up.p6	62	62	6	22	2.8182	3.6667
raku-repo	Raku	../../../../testData/smartEnter/For_after.p6	33	33	3	15	2.2000	5.0000
raku-repo	Raku	../../../../testData/inline-variable/multivarInitDoubleCaseCenterSave.p6	106	106	7	46	2.3043	6.5714
raku-repo	Raku	../../../../testData/intention/AwaitAllOfUnwrapArray.p6	9	9	1	4	2.2500	4.0000
raku-repo	Raku	../../../../testData/formatter/indentation-reverse.in.p6	273	271	19	117	2.3333	6.1579
raku-repo	Raku	../../../../testData/regex-extract/basic.p6	258	258	19	102	2.5294	5.3684
raku-repo	Raku	../../../../testData/intention/NonCapturingGroupIntoNamed.p6	52	52	3	26	2.0000	8.6667
raku-repo	Raku	../../../../testData/intention/UnparenOnColonpairNotAllowedBefore.p6	16	16	1	9	1.7778	9.0000
raku-repo	Raku	../../../../testData/inline-variable/strLiteralInline.p6	25	25	2	11	2.2727	5.5000
raku-repo	Raku	../../../../testData/formatter/grammar-basic.out.p6	181	181	17	47	3.8511	2.7647
raku-repo	Raku	../../../../testData/inline-call/namedArgumentsSave.p6	110	110	5	37	2.9730	7.4000
raku-repo	Raku	../../../../testData/intention/SubroutineExportingDoesNotWorkOnMethodsBefore.p6	42	42	3	13	3.2308	4.3333
raku-repo	Raku	../../../../testData/smartEnter/StatementAfterCallWithSemicolon.p6	14	14	1	6	2.3333	6.0000
raku-repo	Raku	../../../../testData/surroundWith/pointyBlockSurroundBefore.p6	33	33	1	12	2.7500	12.0000
raku-repo	Raku	../../../../testData/surroundWith/forSurroundBefore.p6	60	60	3	17	3.5294	5.6667
raku-repo	Raku	../../../../testData/smartEnter/With.p6	20	20	1	8	2.5000	8.0000
raku-repo	Raku	../../../../testData/smartEnter/With_after.p6	29	29	3	10	2.9000	3.3333
raku-repo	Raku	../../../../testData/findUsage/IdeaFoo3/User.pm6	52	52	8	18	2.8889	2.2500
raku-repo	Raku	../../../../testData/formatter/spacing.out.p6	238	238	16	110	2.1636	6.8750
raku-repo	Raku	../../../../testData/formatter/escapes.in.p6	244	244	7	42	5.8095	6.0000
raku-repo	Raku	../../../../testData/intention/PositionalCapturingIntoNamedBefore.p6	54	54	4	27	2.0000	6.7500
raku-repo	Raku	../../../../testData/intention/UseDirectAttributeAccess.p6	68	68	6	22	3.0909	3.6667
raku-repo	Raku	../../../../testData/block-extract/subroutineWithTypedLocalVariablesExtraction.p6	261	261	12	91	2.8681	7.5833
raku-repo	Raku	../../../../testData/parsing/parametric-role/ParsingTestData.p6	89	89	3	21	4.2381	7.0000
raku-repo	Raku	../../../../testData/inline-call/positionalArgumentsNoSaveBefore.p6	54	54	5	29	1.8621	5.8000
raku-repo	Raku	../../../../testData/block-extract/localDeclarationsAreNotPassedBefore.p6	125	125	7	39	3.2051	5.5714
raku-repo	Raku	../../../../testData/mover/Case9.p6	78	78	10	33	2.3636	3.3000
raku-repo	Raku	../../../../testData/mover/Heredoc2.p6	411	411	11	105	3.9143	9.5455
raku-repo	Raku	../../../../testData/intention/PrivateMethodStubbingSignatureGeneration.p6	330	330	10	128	2.5781	12.8000
raku-repo	Raku	../../../../testData/parsing/version-literal/ParsingTestData.p6	13	13	1	7	1.8571	7.0000
raku-repo	Raku	../../../../testData/parsing/unbalanced-bug-1/ParsingTestData.p6	9	9	1	5	1.8000	5.0000
raku-repo	Raku	../../../../testData/block-extract/varUsedInDeclarationIsPassedBefore.p6	107	107	6	32	3.3438	5.3333
raku-repo	Raku	../../../../testData/surroundWith/pointyBlockExprBefore.p6	53	53	3	13	4.0769	4.3333
raku-repo	Raku	../../../../testData/formatter/braces.in.p6	272	272	25	86	3.1628	3.4400
raku-repo	Raku	../../../../testData/rename/GrammarRuleAfter.pm6	68	68	4	21	3.2381	5.2500
raku-repo	Raku	../../../../testData/inline-variable/positionalParameterSingleUsageSaveBefore.p6	73	73	5	36	2.0278	7.2000
raku-repo	Raku	../../../../testData/mover/NestedBrackets.p6	124	124	8	38	3.2632	4.7500
raku-repo	Raku	../../../../testData/intention/WithConstructionFix.p6	65	65	6	18	3.6111	3.0000
raku-repo	Raku	../../../../testData/intention/Perl6ExecutableStrFixBefore.p6	19	19	1	10	1.9000	10.0000
raku-repo	Raku	../../../../testData/intention/NonCapturingGroupIntoPosNonFlatting.p6	30	30	1	18	1.6667	18.0000
raku-repo	Raku	../../../../testData/rename/IdeaFoo2/BaseAfter.pm6	53	53	3	22	2.4091	7.3333
raku-repo	Raku	../../../../testData/surroundWith/startSurround.p6	74	74	7	23	3.2174	3.2857
raku-repo	Raku	../../../../testData/smartEnter/ClassAfterBlockoid.p6	19	19	1	6	3.1667	6.0000
raku-repo	Raku	../../../../testData/intention/GrepFirstFixBlockMany.p6	28	28	1	10	2.8000	10.0000
raku-repo	Raku	../../../../testData/inline-variable/inlineIntoNamedArgBefore.p6	41	41	5	21	1.9524	4.2000
raku-repo	Raku	../../../../testData/intention/QuotesConversion1.p6	19	19	1	9	2.1111	9.0000
raku-repo	Raku	../../../../testData/intention/FatarrowToColonpairBefore.p6	13	13	1	5	2.6000	5.0000
raku-repo	Raku	../../../../testData/block-extract/inMethodMethodExtraction.p6	107	107	9	28	3.8214	3.1111
raku-repo	Raku	../../../../testData/block-extract/subroutineExtractionTwoLevelsUp.p6	227	227	14	56	4.0536	4.0000
raku-repo	Raku	../../../../testData/inline-call/nonTrailingReturnFailsBefore.p6	54	54	6	21	2.5714	3.5000
raku-repo	Raku	../../../../testData/parsing/qqquotes/ParsingTestData.p6	39	35	2	18	2.1667	9.0000
raku-repo	Raku	../../../../testData/intention/UnparenInitializer.p6	13	13	1	7	1.8571	7.0000
raku-repo	Raku	../../../../testData/rename/PrivateMethodsWithDash.pm6	164	164	10	40	4.1000	4.0000
raku-repo	Raku	../../../../testData/formatter/align-reverse.in.p6	469	469	31	161	2.9130	5.1935
raku-repo	Raku	../../../../testData/intention/MakeMethodPublicIntentionBefore.p6	101	101	7	32	3.1563	4.5714
raku-repo	Raku	../../../../testData/rename/IdeaFoo4/User.pm6	26	26	1	11	2.3636	11.0000
raku-repo	Raku	../../../../testData/intention/SubDeletionRemovesDocs.p6	31	31	5	11	2.8182	2.2000
raku-repo	Raku	../../../../testData/rename/IdeaFoo/User.pm6	33	33	3	10	3.3000	3.3333
raku-repo	Raku	../../../../testData/intention/PrivateMethodStubbingFromUnfinishedVariable.p6	68	68	4	25	2.7200	6.2500
raku-repo	Raku	../../../../testData/findUsage/VisibleAttribute.p6	90	90	8	26	3.4615	3.2500
raku-repo	Raku	../../../../testData/smartEnter/Unless_after.p6	28	28	3	8	3.5000	2.6667
raku-repo	Raku	../../../../testData/intention/PrivateMethodStubbingBefore.p6	58	58	5	18	3.2222	3.6000
raku-repo	Raku	../../../../testData/smartEnter/ClassAfterBadCharacter.p6	21	21	1	7	3.0000	7.0000
raku-repo	Raku	../../../../testData/findUsage/PrivateMethodFromRoleOverloaded.p6	146	146	12	42	3.4762	3.5000
raku-repo	Raku	../../../../testData/formatter/basic-indent.in.p6	31	31	7	16	1.9375	2.2857
raku-repo	Raku	../../../../testData/highlight/Base.rakumod	33	33	3	8	4.1250	2.6667
raku-repo	Raku	../../../../testData/intention/FatArrowSimplification.p6	40	40	3	19	2.1053	6.3333
raku-repo	Raku	../../../../testData/smartEnter/ElseHandling.p6	26	26	3	12	2.1667	4.0000
raku-repo	Raku	../../../../testData/intention/SubroutineExportingQuickfix.p6	23	23	1	5	4.6000	5.0000
raku-repo	Raku	../../../../testData/smartEnter/InsideOfBlock_after.p6	54	54	5	18	3.0000	3.6000
raku-repo	Raku	../../../../testData/parsing/malformed-sig/ParsingTestData.p6	14	14	1	6	2.3333	6.0000
raku-repo	Raku	../../../../testData/block-extract/topFileMethodImpossible.p6	57	57	4	23	2.4783	5.7500
raku-repo	Raku	../../../../testData/formatter/break-lines.in.p6	38	38	1	18	2.1111	18.0000
raku-repo	Raku	../../../../testData/formatter/comments-left-intact.in.p6	30	30	3	13	2.3077	4.3333
raku-repo	Raku	../../../../testData/inline-call/positionalArgumentNoSaveBefore.p6	72	72	5	26	2.7692	5.2000
raku-repo	Raku	../../../../testData/surroundWith/startExpr.p6	78	78	3	26	3.0000	8.6667
raku-repo	Raku	../../../../testData/parsing/heredoc-interpolation/ParsingTestData.p6	431	431	13	115	3.7478	8.8462
raku-repo	Raku	../../../../testData/formatter/heredoc-with-indent.out.p6	93	93	8	37	2.5135	4.6250
raku-repo	Raku	../../../../testData/surroundWith/regexNamedBefore.p6	87	87	6	30	2.9000	5.0000
raku-repo	Raku	../../../../testData/annotation/CallArityExtended.pm6	978	978	24	337	2.9021	14.0417
raku-repo	Raku	../../../../testData/smartEnter/RoutineOutsideSignature.p6	28	28	1	10	2.8000	10.0000
raku-repo	Raku	../../../../testData/inline-variable/multivarInitDoubleCaseCenterNoSaveBefore.p6	112	112	7	50	2.2400	7.1429
raku-repo	Raku	../../../../testData/inline-variable/multivarInitDoubleCaseCenterSaveBefore.p6	112	112	7	50	2.2400	7.1429
raku-repo	Raku	../../../../testData/parsing/ending-curly-then-semicolon/ParsingTestData.p6	236	236	13	82	2.8780	6.3077
raku-repo	Raku	../../../../testData/intention/UnparenSimple.p6	9	9	1	7	1.2857	7.0000
raku-repo	Raku	../../../../testData/intention/ConditionalBlockConversion2.p6	58	58	3	17	3.4118	5.6667
raku-repo	Raku	../../../../testData/findUsage/IdeaFoo5/Base.pm6	72	72	3	22	3.2727	7.3333
raku-repo	Raku	../../../../testData/findUsage/AttributeOfClass1.p6	129	129	11	41	3.1463	3.7273
raku-repo	Raku	../../../../testData/block-extract/heredoc.p6	185	185	13	51	3.6275	3.9231
raku-repo	Raku	../../../../testData/parsing/ltm-terminator/ParsingTestData.p6	23	23	1	12	1.9167	12.0000
raku-repo	Raku	../../../../testData/surroundWith/whenSurround.p6	50	50	5	18	2.7778	3.6000
raku-repo	Raku	../../../../testData/block-extract/topMathExpressionBefore.p6	18	18	1	11	1.6364	11.0000
raku-repo	Raku	../../../../testData/block-extract/lexicalSubsAreDifferentiatedBefore.p6	218	218	8	57	3.8246	7.1250
raku-repo	Raku	../../../../testData/docs/externalTypeFromCORE.p6	14	14	1	7	2.0000	7.0000
raku-repo	Raku	../../../../testData/inline-variable/multivarInitDoubleCaseLeftNoSave.p6	93	93	7	40	2.3250	5.7143
raku-repo	Raku	../../../../testData/intention/MakeMethodPrivateIntention.p6	61	61	5	16	3.8125	3.2000
raku-repo	Raku	../../../../testData/intention/ZeroToVarBefore.p6	27	27	2	14	1.9286	7.0000
raku-repo	Raku	../../../../testData/smartEnter/ScopedClass_after.p6	28	28	3	9	3.1111	3.0000
raku-repo	Raku	../../../../testData/formatter/grammar-basic.in.p6	185	185	17	47	3.9362	2.7647
raku-repo	Raku	../../../../testData/block-extract/lexicalSubsAreDifferentiated.p6	256	256	11	66	3.8788	6.0000
raku-repo	Raku	../../../../testData/intention/PrivateMethodStubbingSignatureGenerationColonpair.p6	122	122	8	41	2.9756	5.1250
raku-repo	Raku	../../../../testData/intention/WithConstructionMultiFix.p6	33	33	5	13	2.5385	2.6000
raku-repo	Raku	../../../../testData/rename/PrivateAttribute.pm6	148	148	13	43	3.4419	3.3077
raku-repo	Raku	../../../../testData/block-extract/fullMathExpressionBefore.p6	18	18	1	11	1.6364	11.0000
raku-repo	Raku	../../../../testData/block-extract/selfInAnotherClassIsPassedBefore.p6	113	113	7	26	4.3462	3.7143
raku-repo	Raku	../../../../testData/intention/HyperOpsOnMap.p6	25	25	2	12	2.0833	6.0000
raku-repo	Raku	../../../../testData/docs/quickDocsLongPost.p6	87	87	5	23	3.7826	4.6000
raku-repo	Raku	../../../../testData/intention/ColonpairForms3.p6	55	55	3	25	2.2000	8.3333
raku-repo	Raku	../../../../testData/findUsage/AttributeFromRole1.p6	117	117	10	37	3.1622	3.7000
raku-repo	Raku	../../../../testData/formatter/basic-class.out.p6	212	212	12	56	3.7857	4.6667
raku-repo	Raku	../../../../testData/docs/methodExternalFromCORE.p6	19	19	1	8	2.3750	8.0000
raku-repo	Raku	../../../../testData/intention/AttributeRequiredOnName.p6	38	38	3	11	3.4545	3.6667
raku-repo	Raku	../../../../testData/mover/BlockTestData.p6	96	96	6	34	2.8235	5.6667
raku-repo	Raku	../../../../testData/inline-call/namedArgumentsReverseSave.p6	160	160	9	53	3.0189	5.8889
raku-repo	Raku	../../../../testData/rename/MultiPartTypeNestedAfter.pm6	185	185	9	58	3.1897	6.4444
raku-repo	Raku	../../../../testData/formatter/basic.in.p6	316	316	24	98	3.2245	4.0833
raku-repo	Raku	../../../../testData/formatter/indentation-tab.out.p6	277	275	19	117	2.3675	6.1579
raku-repo	Raku	../../../../testData/formatter/align-wrap.in.p6	461	461	31	156	2.9551	5.0323
raku-repo	Raku	../../../../testData/intention/ConstConstantVarFixBefore.p6	18	18	1	8	2.2500	8.0000
raku-repo	Raku	../../../../testData/findUsage/IdeaFoo7/Base.pm6	56	56	5	14	4.0000	2.8000
raku-repo	Raku	../../../../testData/parsing/pod-formatting-codes/ParsingTestData.p6	120	118	7	36	3.3333	5.1429
raku-repo	Raku	../../../../testData/parsing/operators/ParsingTestData.p6	305	305	21	142	2.1479	6.7619
raku-repo	Raku	../../../../testData/docs/quickDocsClass.p6	143	143	10	43	3.3256	4.3000
raku-repo	Raku	../../../../testData/parsing/typing-before-capture/ParsingTestData.p6	9	9	1	5	1.8000	5.0000
raku-repo	Raku	../../../../testData/intention/ColonpairForms2.p6	55	55	3	26	2.1154	8.6667
raku-repo	Raku	../../../../testData/rename/ParameterAfter.pm6	95	95	4	24	3.9583	6.0000
raku-repo	Raku	../../../../testData/docs/quickDocsRole.p6	124	124	10	39	3.1795	3.9000
raku-repo	Raku	../../../../testData/parsing/quasi-hash-key/ParsingTestData.p6	20	20	1	9	2.2222	9.0000
raku-repo	Raku	../../../../testData/completion/IdeaFoo/Bar2.pm6	96	96	7	32	3.0000	4.5714
raku-repo	Raku	../../../../testData/smartEnter/RoleAfterSignature.p6	21	21	1	7	3.0000	7.0000
raku-repo	Raku	../../../../testData/findUsage/IdeaFoo7/User.pm6	101	101	8	41	2.4634	5.1250
raku-repo	Raku	../../../../testData/inline-call/cannotInlineMethodFromOtherClassWithPrivateMethodBefore.p6	164	164	15	42	3.9048	2.8000
raku-repo	Raku	../../../../testData/intention/SubroutineExportingQuickfixWithTraits.p6	60	60	3	17	3.5294	5.6667
raku-repo	Raku	../../../../testData/inline-variable/namedParameterSingleUsageSave.p6	66	66	5	34	1.9412	6.8000
raku-repo	Raku	../../../../testData/docs/quickParameter.p6	124	124	5	38	3.2632	7.6000
raku-repo	Raku	../../../../testData/intention/AttributeRequiredOnlyHasBefore.p6	34	34	3	12	2.8333	4.0000
raku-repo	Raku	../../../../testData/docs/quickRegex.p6	47	47	3	18	2.6111	6.0000
raku-repo	Raku	../../../../testData/intention/PrivateMethodStubbingSignatureGenerationForSingleArgColonpairBefore.p6	94	94	7	27	3.4815	3.8571
raku-repo	Raku	../../../../testData/intention/FatArrowSimplificationFalseBefore.p6	47	47	3	20	2.3500	6.6667
raku-repo	Raku	../../../../testData/findUsage/AttributeOfClass.p6	129	129	11	39	3.3077	3.5455
raku-repo	Raku	../../../../testData/block-extract/constructWithBracesExtractionAsLastExprBefore.p6	153	153	11	42	3.6429	3.8182
raku-repo	Raku	../../../../testData/intention/UnitRemovalForDefinedGrammar.p6	25	25	1	6	4.1667	6.0000
raku-repo	Raku	../../../../testData/surroundWith/withSurroundBefore.p6	38	38	2	13	2.9231	6.5000
raku-repo	Raku	../../../../testData/rename/IdeaFoo4/UserAfterGrow.pm6	31	31	1	10	3.1000	10.0000
raku-repo	Raku	../../../../testData/smartEnter/RoutineSignature.p6	20	20	1	8	2.5000	8.0000
raku-repo	Raku	../../../../testData/inline-call/literalIsNotParenthesisedBefore.p6	42	42	2	21	2.0000	10.5000
raku-repo	Raku	../../../../testData/parsing/regex-whitespace/ParsingTestData.p6	192	192	6	60	3.2000	10.0000
raku-repo	Raku	../../../../testData/block-extract/attributesArePassedToOuterClassBefore.p6	147	147	9	35	4.2000	3.8889
raku-repo	Raku	../../../../testData/block-extract/callchainBefore.p6	43	43	3	18	2.3889	6.0000
raku-repo	Raku	../../../../testData/codeInsight/localVariables/DefaultTestDataSigil.pm6	90	90	8	46	1.9565	5.7500
raku-repo	Raku	../../../../testData/intention/MakeMethodPrivateIntentionBefore.p6	67	67	5	19	3.5263	3.8000
raku-repo	Raku	../../../../testData/completion/IdeaFoo/Bar3.pm6	89	89	7	29	3.0690	4.1429
raku-repo	Raku	../../../../testData/surroundWith/givenSurroundBefore.p6	43	43	1	12	3.5833	12.0000
raku-repo	Raku	../../../../testData/rename/PrivateMethods.pm6	148	148	10	36	4.1111	3.6000
raku-repo	Raku	../../../../testData/formatter/contextualizers.in.p6	242	242	20	90	2.6889	4.5000
raku-repo	Raku	../../../../testData/surroundWith/hashComposerSurround.p6	49	49	4	18	2.7222	4.5000
raku-repo	Raku	../../../../testData/regex-extract/rule-case-before.p6	31	31	1	10	3.1000	10.0000
raku-repo	Raku	../../../../testData/parsing/quotes-with-whitespace/ParsingTestData.p6	116	116	4	46	2.5217	11.5000
raku-repo	Raku	../../../../testData/findUsage/VariableFromParameterOnDeclaration.p6	67	67	6	24	2.7917	4.0000
raku-repo	Raku	../../../../testData/completion/IdeaFoo/Bar4.pm6	41	41	3	16	2.5625	5.3333
raku-repo	Raku	../../../../testData/intention/PackageTypeChangeOnTypeNameIntention.p6	11	11	1	3	3.6667	3.0000
raku-repo	Raku	../../../../testData/intention/WhileOneSimplificationBefore.p6	85	85	6	27	3.1481	4.5000
raku-repo	Raku	../../../../testData/block-extract/fullMathExpressionFromSelectionBefore.p6	34	34	1	12	2.8333	12.0000
raku-repo	Raku	../../../../testData/rename/IdeaFoo/Base.pm6	76	76	6	24	3.1667	4.0000
raku-repo	Raku	../../../../testData/parsing/also/ParsingTestData.p6	82	82	6	25	3.2800	4.1667
raku-repo	Raku	../../../../testData/parsing/call-regex/ParsingTestData.p6	31	31	3	14	2.2143	4.6667
raku-repo	Raku	../../../../testData/parsing/colonpair-in-array/ParsingTestData.p6	163	163	4	46	3.5435	11.5000
raku-repo	Raku	../../../../testData/inline-call/singleStatementBlockInlineNoSave.p6	12	12	1	7	1.7143	7.0000
raku-repo	Raku	../../../../testData/surroundWith/startExprBefore.p6	87	87	1	27	3.2222	27.0000
raku-repo	Raku	../../../../testData/docs/quickEnum.p6	37	37	3	13	2.8462	4.3333
raku-repo	Raku	../../../../testData/smartEnter/LoopOutside.p6	37	37	1	20	1.8500	20.0000
raku-repo	Raku	../../../../testData/smartEnter/ScopedClass.p6	20	20	1	6	3.3333	6.0000
raku-repo	Raku	../../../../testData/rename/ArraySigilAfter.pm6	67	67	4	25	2.6800	6.2500
raku-repo	Raku	../../../../testData/block-extract/lexicalSubBeingPassed.p6	196	196	15	74	2.6486	4.9333
raku-repo	Raku	../../../../testData/regex-extract/basic-rule.p6	257	257	19	102	2.5196	5.3684
raku-repo	Raku	../../../../testData/block-extract/mathExpressionFromSelectionBefore.p6	34	34	1	12	2.8333	12.0000
raku-repo	Raku	../../../../testData/inline-call/namedArgumentsReverseSaveBefore.p6	143	143	6	49	2.9184	8.1667
raku-repo	Raku	../../../../testData/parsing/incomplete-hyper-postfix-then-infix/ParsingTestData.p6	16	16	1	8	2.0000	8.0000
raku-repo	Raku	../../../../testData/intention/AttributeRequiredTraits.p6	44	44	3	13	3.3846	4.3333
raku-repo	Raku	../../../../testData/mover/NestedBracketsUp.p6	116	116	8	38	3.0526	4.7500
raku-repo	Raku	../../../../testData/formatter/braces-reverse.out.p6	404	404	40	101	4.0000	2.5250
raku-repo	Raku	../../../../testData/block-extract/topMathExpression.p6	38	38	4	15	2.5333	3.7500
raku-repo	Raku	../../../../testData/intention/WithoutConstructionFix.p6	41	41	5	14	2.9286	2.8000
