type	method	idiom	target_type	target_method	evidence	slice
sub	splice	|c	UNKNOWN	splice	src/core.c/array_operators.rakumod:45	s12
sub	open	|c	IO::Handle	open	src/core.c/io_operators.rakumod:168	s12
sub	open	|c	IO::Handle	open	src/core.c/io_operators.rakumod:170	s12
sub	lines	|%_	UNKNOWN	lines	src/core.c/io_operators.rakumod:175	s12
sub	lines	|%_	UNKNOWN	lines	src/core.c/io_operators.rakumod:180	s12
sub	lines	|%_	UNKNOWN	lines	src/core.c/io_operators.rakumod:185	s12
sub	words	|%_	UNKNOWN	words	src/core.c/io_operators.rakumod:192	s12
sub	words	|%_	UNKNOWN	words	src/core.c/io_operators.rakumod:197	s12
sub	words	|%_	UNKNOWN	words	src/core.c/io_operators.rakumod:202	s12
sub	slurp	|%_	UNKNOWN	slurp	src/core.c/io_operators.rakumod:217	s12
sub	slurp	|%_	IO::Handle	slurp	src/core.c/io_operators.rakumod:218	s12
sub	spurt	|%_	IO::Handle	spurt	src/core.c/io_operators.rakumod:228	s12
sub	chdir	|c	UNKNOWN	chdir	src/core.c/io_operators.rakumod:266	s12
sub	to-json	|c	Rakudo::Internals::JSON	to-json	src/core.c/core_epilogue.rakumod:180	s12
Mu	perl	|c	Mu	raku	src/core.c/core_epilogue.rakumod:197	s12
Mu	perlseen	|c	Mu	rakuseen	src/core.c/core_epilogue.rakumod:201	s12
sub	callwith	|c	UNKNOWN	UNKNOWN	src/core.c/control.rakumod:131	s12
sub	nextwith	|c	UNKNOWN	UNKNOWN	src/core.c/control.rakumod:145	s12
sub	samewith	|c	UNKNOWN	UNKNOWN	src/core.c/control.rakumod:212	s12
sub	samewith	|c	UNKNOWN	UNKNOWN	src/core.c/control.rakumod:213	s12
sub	samewith	|c	UNKNOWN	UNKNOWN	src/core.c/control.rakumod:216	s12
sub	METAOP_HYPER_CALL	|args	UNKNOWN	UNKNOWN	src/core.c/metaops.rakumod:643	s12
sub	HYPER	|c	Hyper	infix	src/core.c/metaops.rakumod:647	s12
Str	contains	|%_	SELF	contains	src/core.e/Fixups.rakumod:366	s13
Str	ends-with	|%_	SELF	ends-with	src/core.e/Fixups.rakumod:372	s13
Str	index	|%_	SELF	index	src/core.e/Fixups.rakumod:378	s13
Str	indices	|%_	SELF	indices	src/core.e/Fixups.rakumod:384	s13
Str	rindex	|%_	SELF	rindex	src/core.e/Fixups.rakumod:390	s13
Str	starts-with	|%_	SELF	starts-with	src/core.e/Fixups.rakumod:396	s13
Str	substr-eq	|%_	SELF	substr-eq	src/core.e/Fixups.rakumod:404	s13
Format	CALL-ME	|c	UNKNOWN	UNKNOWN	src/core.e/Format.rakumod:39	s13
sub	zprintf	|c	UNKNOWN	UNKNOWN	src/core.e/Format.rakumod:128	s13
Cool	zprintf	|c	sub	zprintf	src/core.e/Format.rakumod:132	s13
sub	comb	|%_	Cool	comb	src/core.e/additions.rakumod:6	s14
sub	rotor	|%_	UNKNOWN	rotor	src/core.e/additions.rakumod:25	s14
sub	rotor	|%_	UNKNOWN	rotor	src/core.e/additions.rakumod:29	s14
sub	trans	|%_	UNKNOWN	trans	src/core.e/additions.rakumod:55	s14
sub	postcircumfix:<{; }>	|%_	sub	postcircumfix:<{; }>	src/core.e/hash_multislice.rakumod:7	s14
sub	postcircumfix:<[; ]>	|%_	sub	postcircumfix:<[; ]>	src/core.e/array_multislice.rakumod:69	s14
Grammar	typed_exception	|%opts	X::Comp	new	src/core.e/Grammar.rakumod:52	s14
Grammar	parse	|%_	SELF	new	src/core.e/Grammar.rakumod:63	s14
Grammar	subparse	|%_	SELF	new	src/core.e/Grammar.rakumod:97	s14
Grammar	parsefile	|%_	SELF	parse	src/core.e/Grammar.rakumod:108	s14
PseudoStash	NEW-PACKAGE	|%initargs	SELF	new	src/core.e/PseudoStash.rakumod:46	s14
CtxSymIterator::Keys	new	|c	CtxSymIterator	new	src/core.e/PseudoStash.rakumod:514	s14
CtxSymIterator::Values	new	|c	CtxSymIterator	new	src/core.e/PseudoStash.rakumod:538	s14
